Generating SQLite file results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite from results/nsys_gradient_clip/20260903_143600/large_256_train_step.nsys-rep
Processing [results/nsys_gradient_clip/20260903_143600/large_256_train_step.sqlite] with [/usr/local/cuda-12.2/nsight-systems-2023.2.3/host-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

        NVTX Range           Style     PID      TID    NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 forward                    PushPop  383,872  383,872          1          1          625,946  625,946.0  625,946.0   625,946   625,946          0.0  sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_ex…
 forward                    PushPop  383,872  383,872          1         36          578,363   16,065.6   16,031.5    15,808    16,607        181.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1         36          569,881   15,830.0   15,808.0    15,392    16,416        211.8  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1         36          562,364   15,621.2   15,584.0    15,423    15,904        103.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MaxOps<flo…
 forward                    PushPop  383,872  383,872          1         72          487,038    6,764.4    6,800.0     5,439     8,480      1,213.7  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 forward                    PushPop  383,872  383,872          1         36          447,229   12,423.0   12,400.0    11,936    13,216        277.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_kernel_cuda(at::TensorIt…
 forward                    PushPop  383,872  383,872          1         73          413,791    5,668.4    5,664.0     5,568     5,792         44.7  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
 forward                    PushPop  383,872  383,872          1         36          413,465   11,485.1   11,456.0    11,072    11,936        224.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::exp_kernel_cuda(at::TensorIterat…
 forward                    PushPop  383,872  383,872          1         36          390,236   10,839.9   10,768.0    10,400    11,680        286.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
 forward                    PushPop  383,872  383,872          1         36          325,564    9,043.4    9,088.0     8,448     9,503        228.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
 forward                    PushPop  383,872  383,872          1         73          217,600    2,980.8    2,944.0     2,880     3,360         90.7  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scala…
 forward                    PushPop  383,872  383,872          1         73          118,812    1,627.6    1,663.0     1,440     1,920        121.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
